p93;i_6_p9;i_2_p9;p4;p1;p3;p5;region;p7;p92;p84;p91;p96;p10;p8;p81;p83;folio_encuesta;fecha;diferencia_edad_pareja;anios_convivencia_aprox
1;5;5;65;2;2;9;1;1;6;1995;65;2;3;3;1;1;1109104;2022-09-06;0;
1;6;6;42;2;2;9;1;8;2;2000;52;1;4;4;1;1;1109105;2022-09-09;-10;
1;6;6;55;2;2;9;1;1;6;1995;53;1;3;4;1;1;1109106;2022-09-06;2;
3;7;7;24;1;1;14;1;2;3;2018;19;1;4;4;1;1;1109107;2022-09-06;5;
3;6;7;56;1;1;9;1;8;5;1990;52;1;4;3;1;1;1109109;2022-09-06;4;
2;4;4;53;2;2;9;1;1;6;1989;56;1;3;4;1;1;1109110;2022-09-06;-3;
1;5;5;33;2;2;9;1;8;6;2014;34;1;3;3;1;1;1109201;2022-09-21;-1;
3;7;7;32;1;1;9;1;1;4;2015;32;2;4;5;1;1;1109203;2022-09-21;0;
1;5;6;60;2;2;1;1;5;4;2008;74;2;4;4;1;1;1109205;2022-09-21;-14;
3;6;7;50;1;1;9;1;1;3;2019;40;1;4;4;1;1;1109207;2022-09-21;10;
3;6;7;65;2;2;9;1;1;2;1982;62;2;3;4;1;1;1109209;2022-09-21;3;
2;2;4;55;2;2;9;1;2;3;1996;58;1;4;4;1;1;1109304;2022-09-09;-3;
3;6;6;51;1;1;10;1;8;4;2019;40;1;3;3;1;1;1109501;2022-10-03;11;
3;5;5;57;2;2;8;1;2;3;1988;67;1;3;4;1;1;1109503;2022-10-03;-10;
1;5;5;27;2;2;7;1;2;6;2016;32;;1;3;1;1;1109505;2022-09-27;-5;
3;6;5;64;2;2;14;1;1;4;1988;66;1;3;4;1;1;1109601;2022-09-29;-2;
1;7;7;26;2;2;9;1;1;6;2016;24;2;3;4;1;1;1109602;2022-09-29;2;
1;5;5;46;2;2;9;1;1;1;1993;70;1;4;4;1;1;1109604;2022-10-03;-24;
3;4;6;40;1;1;9;1;1;5;2006;37;1;4;4;1;1;1109605;2022-10-04;3;
3;7;7;32;1;1;9;1;1;3;2005;37;1;4;4;1;1;1109607;2022-09-29;-5;
3;7;6;55;1;1;6;1;1;3;1992;58;2;5;4;1;1;1109801;2022-09-27;-3;
3;5;7;73;1;1;6;1;6;3;1987;60;1;4;2;1;1;1109803;2022-09-27;13;
2;7;6;39;2;2;7;1;2;6;2010;37;1;3;3;1;1;1109804;2022-09-27;2;
1;7;7;49;2;2;12;1;1;2;1997;42;1;4;4;1;1;1109807;2022-09-27;7;
1;7;7;42;1;1;9;1;2;5;2002;37;1;4;4;1;1;1109901;2022-09-13;5;
3;6;7;32;1;1;11;1;3;4;2021;28;1;4;4;1;1;1109903;2022-09-13;4;
1;5;5;50;2;2;9;1;1;6;1990;55;1;3;3;1;1;1109904;2022-09-13;-5;
;7;7;44;2;2;12;1;8;;2005;55;1;3;5;1;1;1109905;2022-09-13;-11;
3;7;3;44;2;2;7;1;8;;2007;40;1;5;4;1;1;1109906;2022-09-13;4;
1;2;3;28;2;2;7;1;2;3;2014;28;2;3;3;1;1;1110002;2022-09-09;0;
3;7;6;76;1;1;10;1;1;5;1985;68;;4;4;1;1;1110003;2022-09-09;8;
3;6;4;22;1;1;11;1;8;5;2021;20;1;3;3;1;1;1110004;2022-09-09;2;
3;7;6;25;2;2;11;1;2;3;2015;27;1;4;4;1;1;1110005;2022-09-06;-2;
3;7;6;47;1;1;11;1;1;4;2008;47;1;5;4;1;1;1110006;2022-09-06;0;
2;6;5;52;2;2;13;1;2;2;1997;51;1;4;4;1;1;1110007;2022-09-09;1;
2;5;5;22;2;2;13;1;2;2;2022;27;1;2;3;1;1;1110009;2022-09-06;-5;
2;6;6;36;2;2;12;1;8;2;2018;30;1;4;4;1;1;1110010;2022-09-09;6;
1;7;7;43;2;2;7;1;1;6;1995;44;1;4;4;1;1;1110102;2022-09-29;-1;
3;6;6;40;2;2;12;1;2;3;2009;41;1;4;4;1;1;1110103;2022-09-29;-1;
3;1;7;71;1;1;8;1;1;5;1978;70;2;3;4;1;1;1110104;2022-09-29;1;
1;5;4;59;2;2;6;1;1;6;1987;53;2;3;4;1;1;1110105;2022-09-29;6;
3;6;7;54;1;1;9;1;1;3;1992;44;1;4;4;1;1;1110108;2022-09-29;10;
1;5;7;72;2;2;7;1;1;6;1970;74;;3;4;1;1;1110109;2022-09-29;-2;
1;1;6;59;2;2;7;1;8;6;1982;62;;3;3;1;1;1110110;2022-09-29;-3;
3;6;6;56;1;1;9;1;6;1;1997;59;;3;3;1;1;1110204;2022-09-27;-3;
3;7;7;27;2;2;9;1;8;4;2012;27;1;4;4;1;1;1110207;2022-09-27;0;
2;7;2;50;2;2;9;1;2;1;2012;46;1;3;3;1;1;1110302;2022-09-27;4;
3;6;6;25;2;2;12;1;8;3;2015;27;1;4;5;1;1;1110303;2022-09-27;-2;
3;6;7;52;2;2;15;1;2;3;2022;61;1;4;3;1;1;1110304;2022-09-27;-9;
1;6;7;67;2;2;7;1;1;6;1974;69;2;2;4;1;1;1110305;2022-09-27;-2;
3;7;7;27;1;1;13;1;8;5;2014;32;1;4;4;1;1;1110310;2022-09-27;-5;
1;7;4;29;2;2;8;1;3;6;2008;28;1;3;4;1;1;1110405;2022-09-13;1;
3;7;7;30;1;1;12;1;2;3;2021;22;1;4;5;1;1;1110406;2022-09-13;8;
2;7;7;67;2;2;7;1;1;4;1984;65;1;2;4;1;1;1110608;2022-09-13;2;
3;1;6;76;2;2;6;1;1;6;1980;63;2;4;3;1;1;1110702;2022-09-21;13;
2;6;6;20;2;2;8;1;8;6;2015;25;1;4;4;1;1;1110703;2022-09-21;-5;
3;4;5;72;1;1;8;1;1;3;1976;65;;3;3;1;1;1110704;2022-09-21;7;
2;6;6;31;2;2;11;1;8;2;2008;31;1;4;4;1;1;1110707;2022-09-21;0;
3;6;4;59;1;1;9;1;6;3;1986;62;;4;3;1;1;1110709;2022-09-21;-3;
3;6;6;52;2;2;7;1;5;2;2001;64;1;4;4;1;1;1110710;2022-09-21;-12;
1;7;7;30;2;2;11;1;1;6;2018;32;1;5;4;1;1;1110802;2022-09-15;-2;
2;5;6;65;1;1;8;1;1;2;1972;63;2;2;2;1;1;1110804;2022-09-15;2;
3;7;7;64;2;2;10;1;2;3;2021;61;1;4;4;1;1;1111301;2022-10-29;3;
1;4;6;66;2;2;8;1;1;2;1975;70;2;3;4;1;1;1111303;2022-11-01;-4;
3;6;6;60;1;1;8;1;1;4;2019;62;1;4;4;1;1;1111305;2022-10-29;-2;
3;7;4;42;2;2;11;1;2;4;2003;45;1;4;4;1;1;1111401;2022-11-01;-3;
3;4;6;47;1;1;13;1;2;1;1999;40;1;5;4;1;1;1111502;2022-11-01;7;
2;7;4;39;2;2;15;1;1;2;2013;42;1;4;4;1;1;1111503;2022-11-07;-3;
1;5;7;45;2;2;13;2;8;3;2001;45;1;4;4;1;1;2100202;2022-09-24;0;
2;2;3;59;2;2;7;2;6;3;2009;65;2;2;2;1;1;2100303;2022-11-20;-6;
3;7;7;70;1;1;8;2;1;3;1972;70;2;4;3;1;1;2100305;2022-11-20;0;
1;7;6;40;2;2;9;2;2;4;2018;43;1;4;4;1;1;2100308;2022-11-20;-3;
2;5;6;44;2;2;11;2;1;2;2004;44;1;4;4;1;1;2100701;2022-10-27;0;
1;7;7;36;2;2;9;2;2;6;2013;41;1;5;5;1;1;2100703;2022-11-14;-5;
3;5;5;19;1;1;8;2;8;2;2019;19;1;5;4;1;1;2100707;2022-11-14;0;
3;6;4;47;1;1;11;2;1;3;2007;47;1;;4;1;1;2100710;2022-11-14;0;
1;7;7;48;2;2;7;2;2;6;1991;51;;2;2;1;1;2100801;2022-11-14;-3;
3;6;6;39;1;1;15;2;3;3;2011;47;1;4;4;1;1;2101006;2022-10-09;-8;
2;6;6;38;1;1;13;2;3;4;2015;39;1;5;5;1;1;2101007;2022-10-09;-1;
3;2;2;46;2;2;7;2;1;5;1992;50;1;4;4;1;1;2101101;2022-10-07;-4;
1;5;6;46;2;2;8;2;2;2;2019;58;1;3;4;1;1;2101103;2022-10-09;-12;
2;4;5;38;1;1;9;2;8;6;2016;28;1;3;3;1;1;2101104;2022-10-09;10;
3;7;7;28;2;2;9;2;2;2;2012;32;1;5;3;1;1;2101106;2022-10-13;-4;
3;6;7;32;1;1;9;2;2;3;2007;28;1;4;4;1;1;2101107;2022-10-06;4;
3;6;6;37;1;1;9;2;1;4;2015;35;1;;;1;1;2101202;2022-10-18;2;
3;6;6;46;2;2;12;2;2;3;1991;47;1;4;4;1;1;2101203;2022-10-19;-1;
2;7;3;57;2;2;9;2;1;1;2013;50;1;3;2;1;1;2101204;2022-10-20;7;
2;7;4;27;2;2;9;2;2;1;2018;30;1;3;4;1;1;2101205;2022-10-20;-3;
3;4;5;33;1;1;9;2;2;3;2015;32;1;4;4;1;1;2101209;2022-10-21;1;
3;7;7;37;1;2;15;2;1;3;2005;34;1;4;4;1;1;2101401;2022-09-28;3;
3;4;6;43;1;1;7;2;8;3;2013;34;1;4;4;1;1;2101402;2022-09-29;9;
3;7;7;33;2;2;9;2;1;2;2012;46;1;3;4;1;1;2101602;2022-10-09;-13;
1;4;7;43;2;2;13;2;8;6;2002;46;1;3;4;1;1;2101603;2022-10-10;-3;
2;7;5;43;2;2;7;2;6;6;2017;37;1;3;4;1;1;2101608;2022-10-13;6;
1;7;6;42;2;2;9;2;8;6;1998;45;1;4;4;1;1;2101609;2022-10-21;-3;
